Metacritic,Recomendaciones,Propietarios,Jugadores,Precio
82,744,0,0,4.99
66,20555,3607976,2683608,29.99
0,333,257546,137561,9.99
66,185,85191,52549,5.99
83,222,96131,51653,5.99
0,0,56495,14169,5.99
0,0,56495,9864,5.99
0,0,56495,11837,5.99
0,0,63131,21163,9.99
0,137,90751,59723,5.99
0,692,326058,234231,9.99
0,3297,794698,559929,9.99
0,345,84474,62772,4.99
69,0,39636,8967,6.99
79,1535,522445,305253,9.99
63,115,82680,16859,4.99
81,1469,314220,161953,19.99
43,280,213785,37663,1.24
0,650,231899,76941,32.99
0,485,416091,77658,9.99
0,3286,1319834,458418,5.99
81,10059,1988987,1651630,14.99
66,5556,1099054,591495,19.99
0,360,153703,126980,6.99
77,6337,1166310,605484,29.99
0,0,16141,10402,7.99
0,133,32283,17576,14.99
81,5603,958803,610685,4.99
62,470,174866,85012,9.99
0,0,29772,11478,4.99
70,372,95055,85908,19.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,4.99
0,614,276916,90392,7.99
0,369,256649,37484,7.99
77,4707,680632,478863,19.99
0,176,47348,33359,4.99
48,136,47348,32642,14.99
0,125,95773,16141,4.99
82,1001,239790,99539,9.99
80,669,143838,62234,4.99
0,256,124648,40892,4.99
0,207,124289,38560,4.99
73,232,100077,42327,9.99
0,0,26364,6457,4.49
80,3434,917552,547016,9.99
55,511,83218,77479,14.99
70,2422,1207919,708610,9.99
0,4225,615707,456624,9.99
44,1401,237100,166257,9.99
64,1872,330362,155317,4.99
0,1445,364976,248040,0.49
0,114,56316,25826,3.99
0,149,56136,21881,3.99
0,120,59006,25826,3.99
68,725,120882,85370,4.99
67,132,91468,33538,9.99
34,0,39457,25109,9.99
79,848,488010,300949,9.99
81,1788,642251,372509,9.99
77,524,120882,52729,3.99
81,5040,648169,532668,14.99
63,422,428646,63131,9.99
0,0,264899,16141,0.0
75,122,265079,11658,19.99
73,134,134512,55957,0.99
80,760,503972,215578,9.99
83,1358,232258,166257,11.99
65,201,78196,34614,7.99
63,1816,168051,102588,4.99
0,8428,931004,577506,1.99
55,252,385064,156931,14.99
0,625,109583,89495,9.99
54,204,300231,116936,9.99
0,0,35691,18114,9.99
77,764,215578,175763,9.99
62,529,250731,101512,6.99
71,911,222573,172714,9.99
73,2684,496619,260595,14.99
57,217,120702,34973,2.99
0,224,100615,79811,5.99
0,171,44479,15245,4.99
0,297,125186,109941,14.99
56,0,5022,1614,9.99
76,1441,725648,197464,15.0
49,267,68153,20446,4.99
0,0,45555,8429,4.99
82,3545,367129,281220,19.99
0,5458,111555,110659,29.99
64,15519,2751402,1658446,0.0
0,957,411069,94159,0.0
69,299,118012,62952,9.99
70,0,38740,14348,9.99
81,6628,834334,698567,19.99
83,4412,1478199,911813,9.99
0,8010,1343508,741790,0.0
0,0,44120,21881,9.99
72,1277,606022,289829,9.99
0,224,52011,32642,9.99
0,0,17397,13989,7.99
0,3861,623240,399950,1.49
0,27713,2330469,1743995,0.0
72,961,266513,69408,9.99
69,408,97925,38381,5.99
0,171,57033,19370,9.99
83,139819,8165607,7764044,9.99
75,115,81245,28875,4.99
81,625,306508,139893,9.99
86,19633,2339436,1854116,14.99
74,2187,659648,453216,9.99
74,63534,2785120,2728087,39.99
82,924,101691,62772,4.99
81,1198,459852,193698,9.99
0,3030,1249349,594544,0.0
81,493,360672,135768,19.99
0,437,86626,63490,9.99
83,14262,1723908,1275714,29.99
0,5458,2159728,1126495,29.99
0,3515,860519,410531,0.0
0,200,24750,9147,4.99
74,18128,4486609,2773641,0.0
0,0,75686,10582,0.0
0,0,30489,8788,4.99
0,0,29951,8429,4.99
0,0,26006,5560,4.99
83,10103,1510124,1200745,19.99
0,0,10761,6995,9.99
0,0,6277,4842,9.99
0,352,166436,113349,4.99
0,474,485320,113528,9.99
56,1175,625392,191007,19.99
83,6222,1340459,973151,14.99
84,39367,2968594,2669619,4.99
0,2143,478146,264003,9.99
80,1101,431156,210736,9.99
75,470,146708,73354,14.99
0,19251,0,0,39.99
76,4130,520472,391879,39.99
0,0,37125,30848,0.0
0,122,49321,18473,4.99
37,241,53805,13989,4.99
0,0,16141,9685,6.99
71,0,65104,21163,9.99
82,22224,2768440,1846583,0.0
91,16418,3396164,1872768,19.99
57,0,62952,26902,7.99
66,0,24750,8429,12.99
88,23667,3352402,3051095,19.99
83,4006,745915,466309,14.99
0,251,15962,6636,2.49
0,647,313144,119088,1.49
64,500,491059,119447,4.99
0,1866,608712,323188,4.99
72,2680,764567,428825,14.99
83,11166,2295854,1731441,24.99
81,17822,1352475,1146223,19.99
54,1087,204638,81066,19.99
80,4225,810839,529799,19.99
65,157,43761,21163,9.99
81,14510,1554602,1283964,0.0
0,350,269204,118729,9.99
0,0,11299,5380,6.99
0,108,47169,23315,4.99
0,0,7891,6457,6.99
76,566,208763,138817,9.99
0,370,163208,61517,9.99
73,3236,1191957,382373,9.99
74,23400,2960344,2448481,59.99
74,23400,2960344,2585862,59.99
79,18213,3058269,2340153,19.99
86,55844,4453968,3663933,19.99
0,790,139355,84832,9.99
0,6142,2146276,1075739,0.0
0,503,132181,59544,19.99
54,551,222393,52191,9.99
68,3404,682425,252704,14.99
75,5542,807432,456086,9.99
75,873,261312,110121,19.19
0,204,48424,27440,5.99
83,3473,689958,488369,9.99
0,1828,748964,380759,7.99
87,18737,1764621,1414530,19.99
80,329,261312,101691,19.99
81,1727,474738,294671,1.99
74,202,312786,99718,9.99
78,17240,1689652,1270692,9.99
74,3532,841150,411966,9.99
0,32371,3280304,2875153,14.99
62,102,24930,13093,9.99
0,102,30669,13272,9.99
79,9891,965798,717578,14.99
75,1284,118550,106175,14.99
51,260,366591,89675,19.99
0,0,10402,4125,9.99
0,1934,390444,231540,9.99
39,178,13272,6098,29.99
0,0,22060,17756,9.99
57,185,125186,47348,7.99
70,548,187062,44120,19.99
0,0,50577,24033,9.99
0,0,47528,21163,9.99
74,0,47707,24930,9.99
0,0,33000,12734,9.99
91,25429,2918556,2473231,9.99
64,2312,1635130,369819,14.99
0,273,74071,34794,6.99
0,429,200513,149936,14.99
73,1468,301128,152088,19.99
0,231,38740,21522,4.99
76,522,252345,92006,14.99
0,136,30848,9864,9.99
0,420,141866,35332,9.99
76,1405,325161,217192,0.0
0,2719,1632081,452499,7.99
83,8584,753448,545223,9.99
42,0,1793,897,39.99
0,0,13093,11478,19.99
83,485,172893,67256,7.99
86,39363,3107232,2628548,14.99
81,23170,1114120,665925,9.99
0,6994,1296518,806535,0.0
0,117,48783,12016,9.99
77,744,239970,115501,9.99
84,15156,1231414,1072869,14.99
82,3898,980325,628082,14.99
59,111,30310,11120,9.99
0,6963,2016427,901411,0.0
73,694,151371,81604,14.99
76,1342,243736,143300,19.99
0,403,73533,54522,2.99
0,201,65104,37843,5.99
0,431,69408,43761,5.99
81,638,259519,131463,2.99
86,1142,207687,166257,19.99
80,381,61517,38022,4.99
82,28241,2112200,1781659,24.99
65,612,400846,193339,9.99
82,2268,394569,221497,9.99
0,384,58827,32283,3.99
75,1186,223111,121061,8.99
61,689,503076,128773,9.99
72,40106,5482896,3244434,0.0
80,0,49680,21522,9.99
0,3073,575174,462363,19.99
50,0,13631,5739,14.99
80,8592,1031439,818193,19.99
0,0,27082,7891,9.99
0,0,27440,6815,9.99
0,0,30310,7353,9.99
0,27235,935667,765105,29.99
63,1240,247144,121061,9.99
0,0,11299,5560,9.99
58,1601,509712,222035,19.99
78,1612,146349,101871,14.99
74,17773,2163315,1462417,19.99
66,548,55240,39816,14.99
48,1173,121958,97925,29.99
79,904,129132,116219,29.99
68,23993,1428161,1222985,59.99
68,23993,1428161,1201284,59.99
80,751,278351,160877,9.99
0,167,36049,11299,9.99
54,424,206611,120523,14.99
0,0,31924,12375,4.99
66,1365,479222,285345,19.99
0,229,35153,15245,9.99
78,20533,1085244,951988,59.99
78,20533,1085244,941047,59.99
44,1412,180246,113528,19.99
0,274,438330,47707,0.0
0,476,388113,115322,14.99
49,0,34973,11299,14.99
81,1031,593826,284090,14.99
75,14567,2896137,1713865,0.0
0,158,163926,56136,9.99
0,0,5560,4125,19.99
77,9939,1555858,1033054,14.99
0,387,98104,33180,9.99
87,2111,156213,143838,39.99
0,0,46810,10940,9.99
69,0,13989,11299,19.99
0,1271,1016195,236562,14.99
74,317,90392,34973,9.99
0,0,0,0,2.99
74,1738,195850,154599,9.99
0,267,66897,29413,9.99
0,723,77479,50039,14.99
79,481,293775,132539,7.99
78,9380,978890,657316,14.99
85,47180,2864930,2561112,19.99
0,448,201230,141507,7.99
92,1116,814785,260954,6.99
87,500,499130,99539,6.99
56,190,23674,16859,6.99
82,57493,2562188,2493497,12.74
0,1065,262747,130566,7.99
0,813,162311,73175,9.99
76,303,56495,32462,1.99
75,8394,1959394,1125060,0.0
0,187,52370,28696,6.99
76,3784,933515,524598,0.0
0,1922,555446,180605,0.0
0,374,42147,24571,9.99
0,1279,145273,129311,39.99
71,2265,284986,243915,19.99
0,172,78017,40174,9.99
0,6179,1018526,530695,0.0
0,2149,185268,147605,49.99
0,624,252524,127876,19.99
73,0,7533,4484,14.99
0,3080,397439,253062,9.99
0,25895,1963340,1756550,29.99
66,1499,255573,203562,14.99
74,4759,801872,488728,19.19
81,16116,946966,761339,39.99
80,2653,561364,427031,19.99
91,11059,1603923,1183707,14.99
0,208,63490,38201,7.99
0,902,147425,92724,7.99
0,514,100077,62234,7.99
0,197,64028,31386,39.99
88,1151,92724,64566,4.99
68,1663,155496,117115,14.99
88,4568,736947,440841,14.99
0,808,386857,218448,3.99
75,1147,469717,265437,9.99
64,2214,515451,308302,4.99
0,323,104561,49142,12.99
80,929,368563,153882,9.99
82,1159,231720,113887,19.99
74,3131,418961,347400,29.99
0,0,2511,2152,39.99
78,0,28875,12554,7.99
74,1591,470972,160697,9.99
72,5036,814785,573919,14.99
0,0,39457,11299,14.99
0,498,105637,55060,14.99
69,1372,294671,135050,2.99
0,813,259698,110479,14.99
73,272,117833,43582,9.99
68,0,27082,13810,9.99
